Behaviour,Actor,Receiver,T_start,T_stop,treatment_rep
A,23,5,2021-03-16T12:14:00.420432044Z,2021-03-16T12:14:02.795388702Z,R3SP
SG,24,NA,2021-03-16T12:13:54.420348393Z,2021-03-16T12:14:11.920495872Z,R3SP
SG,18,NA,2021-03-16T12:13:50.920357754Z,2021-03-16T12:13:56.670347709Z,R3SP
G,23,5,2021-03-16T12:13:49.795348402Z,2021-03-16T12:13:58.795357048Z,R3SP
G,23,5,2021-03-16T12:13:49.795348402Z,2021-03-16T12:13:58.795357048Z,R3SP
CR,4,17,2021-03-16T12:13:47.295273318Z,2021-03-16T12:13:49.170286550Z,R3SP
CR,4,17,2021-03-16T12:13:47.295273318Z,2021-03-16T12:13:49.170286550Z,R3SP
CR,7,21,2021-03-16T12:13:44.795260079Z,2021-03-16T12:14:15.670598152Z,R3SP
CR,7,21,2021-03-16T12:13:44.795260079Z,2021-03-16T12:14:15.670598152Z,R3SP
TB,22,NA,2021-03-16T12:13:43.170301773Z,2021-03-16T12:14:18.045628091Z,R3SP
SG,2,NA,2021-03-16T12:13:41.170274090Z,2021-03-16T12:13:43.420301112Z,R3SP
SG,6,NA,2021-03-16T12:13:38.420263386Z,2021-03-16T12:13:44.795260079Z,R3SP
G,23,5,2021-03-16T12:13:35.045248967Z,2021-03-16T12:13:45.295310756Z,R3SP
G,23,5,2021-03-16T12:13:35.045248967Z,2021-03-16T12:13:45.295310756Z,R3SP
G,18,5,2021-03-16T12:13:33.420223611Z,2021-03-16T12:13:45.295310756Z,R3SP
G,18,5,2021-03-16T12:13:33.420223611Z,2021-03-16T12:13:45.295310756Z,R3SP
SG,6,NA,2021-03-16T12:13:32.170227521Z,2021-03-16T12:13:34.795243632Z,R3SP
SG,2,NA,2021-03-16T12:13:29.170186622Z,2021-03-16T12:13:37.545256313Z,R3SP
SG,27,NA,2021-03-16T12:13:28.920124452Z,2021-03-16T12:14:09.045435141Z,R3SP
