Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
748,SG,26,NA,26,2021-03-16T12:42:24.557491857Z,2021-03-16T12:43:00.932772502Z,post,R3SP,2021-03-16 12:42:24,2021-03-16 12:43:00,36.3752806186676
749,CB,27,NA,27,2021-03-16T12:30:34.427506832Z,2021-03-16T12:30:42.427563905Z,post,R3SP,2021-03-16 12:30:34,2021-03-16 12:30:42,8.00005698204041
750,G,27,4,27,2021-03-16T12:31:03.552586661Z,2021-03-16T12:31:49.802917704Z,post,R3SP,2021-03-16 12:31:03,2021-03-16 12:31:49,46.2503311634064
751,SG,27,NA,27,2021-03-16T12:31:55.553092457Z,2021-03-16T12:32:19.303166897Z,post,R3SP,2021-03-16 12:31:55,2021-03-16 12:32:19,23.7500743865967
752,CR,27,20,27,2021-03-16T12:32:46.178362026Z,2021-03-16T12:32:47.678369160Z,post,R3SP,2021-03-16 12:32:46,2021-03-16 12:32:47,1.50000691413879
754,G,27,5,27,2021-03-16T12:40:02.306570078Z,2021-03-16T12:40:14.806565840Z,post,R3SP,2021-03-16 12:40:02,2021-03-16 12:40:14,12.4999957084656
755,SG,27,NA,27,2021-03-16T12:41:08.931966114Z,2021-03-16T12:41:22.432111400Z,post,R3SP,2021-03-16 12:41:08,2021-03-16 12:41:22,13.5001454353333
757,SG,28,NA,28,2021-03-16T12:31:22.802886805Z,2021-03-16T12:31:45.302919842Z,post,R3SP,2021-03-16 12:31:22,2021-03-16 12:31:45,22.5000331401825
761,G,1,6,1,2021-04-26T11:06:04.090641918Z,2021-04-26T11:06:18.965772344Z,pre,R9SP,2021-04-26 11:06:04,2021-04-26 11:06:18,14.8751304149628
762,TQ,1,10,1,2021-04-26T11:07:19.466238424Z,2021-04-26T11:07:50.716630665Z,pre,R9SP,2021-04-26 11:07:19,2021-04-26 11:07:50,31.2503921985626
763,G,1,6,1,2021-04-26T11:09:46.343041691Z,2021-04-26T11:10:08.343253138Z,pre,R9SP,2021-04-26 11:09:46,2021-04-26 11:10:08,22.0002114772797
764,TQ,1,6,1,2021-04-26T11:10:08.343253138Z,2021-04-26T11:11:22.843551726Z,pre,R9SP,2021-04-26 11:10:08,2021-04-26 11:11:22,74.500298500061
765,SG,2,NA,2,2021-04-26T11:07:36.841489060Z,2021-04-26T11:07:51.466541029Z,pre,R9SP,2021-04-26 11:07:36,2021-04-26 11:07:51,14.6250519752502
766,SG,3,NA,3,2021-04-26T10:56:58.585689283Z,2021-04-26T10:57:24.085915364Z,pre,R9SP,2021-04-26 10:56:58,2021-04-26 10:57:24,25.500226020813
767,SG,3,NA,3,2021-04-26T10:57:30.960983582Z,2021-04-26T10:57:38.836076180Z,pre,R9SP,2021-04-26 10:57:30,2021-04-26 10:57:38,7.87509274482727
768,FR,3,26,3,2021-04-26T11:00:45.963124241Z,2021-04-26T11:00:50.837801755Z,pre,R9SP,2021-04-26 11:00:45,2021-04-26 11:00:50,4.87467741966248
769,FR,3,26,3,2021-04-26T11:01:41.838244377Z,2021-04-26T11:02:03.088425884Z,pre,R9SP,2021-04-26 11:01:41,2021-04-26 11:02:03,21.2501814365387
770,SG,3,NA,3,2021-04-26T11:07:14.216153499Z,2021-04-26T11:07:20.966359443Z,pre,R9SP,2021-04-26 11:07:14,2021-04-26 11:07:20,6.75020599365234
771,SG,3,NA,3,2021-04-26T11:07:51.591618571Z,2021-04-26T11:08:22.841878814Z,pre,R9SP,2021-04-26 11:07:51,2021-04-26 11:08:22,31.2502603530884
772,SG,3,NA,3,2021-04-26T11:10:02.467883273Z,2021-04-26T11:10:41.218104262Z,pre,R9SP,2021-04-26 11:10:02,2021-04-26 11:10:41,38.7502210140228
773,SG,3,NA,3,2021-04-26T11:10:49.718247569Z,2021-04-26T11:11:08.968417347Z,pre,R9SP,2021-04-26 11:10:49,2021-04-26 11:11:08,19.2501697540283
775,T,4,18,4,2021-04-26T11:06:09.840678348Z,2021-04-26T11:06:25.340833113Z,pre,R9SP,2021-04-26 11:06:09,2021-04-26 11:06:25,15.5001547336578
776,FR,4,32,4,2021-04-26T11:08:52.467191408Z,2021-04-26T11:08:56.967214301Z,pre,R9SP,2021-04-26 11:08:52,2021-04-26 11:08:56,4.50002288818359
778,SG,5,NA,5,2021-04-26T11:03:36.964297439Z,2021-04-26T11:03:44.839363841Z,pre,R9SP,2021-04-26 11:03:36,2021-04-26 11:03:44,7.87506628036499
779,SG,5,NA,5,2021-04-26T11:03:56.339457664Z,2021-04-26T11:04:00.089505023Z,pre,R9SP,2021-04-26 11:03:56,2021-04-26 11:04:00,3.75004720687866
780,SG,5,NA,5,2021-04-26T11:04:10.964611002Z,2021-04-26T11:04:31.215176833Z,pre,R9SP,2021-04-26 11:04:10,2021-04-26 11:04:31,20.2505657672882
781,SG,5,NA,5,2021-04-26T11:04:34.965242853Z,2021-04-26T11:05:44.215384053Z,pre,R9SP,2021-04-26 11:04:34,2021-04-26 11:05:44,69.2501411437988
782,SG,5,NA,5,2021-04-26T11:05:52.090535654Z,2021-04-26T11:06:06.340667057Z,pre,R9SP,2021-04-26 11:05:52,2021-04-26 11:06:06,14.2501313686371
783,SG,5,NA,5,2021-04-26T11:06:10.341073279Z,2021-04-26T11:06:31.466268142Z,pre,R9SP,2021-04-26 11:06:10,2021-04-26 11:06:31,21.1251947879791
784,SG,5,NA,5,2021-04-26T11:06:36.466325251Z,2021-04-26T11:07:44.591565512Z,pre,R9SP,2021-04-26 11:06:36,2021-04-26 11:07:44,68.1252403259277
785,SG,5,NA,5,2021-04-26T11:07:49.591614948Z,2021-04-26T11:07:58.466689942Z,pre,R9SP,2021-04-26 11:07:49,2021-04-26 11:07:58,8.87507486343384
786,SG,5,NA,5,2021-04-26T11:08:05.466801916Z,2021-04-26T11:08:14.717248917Z,pre,R9SP,2021-04-26 11:08:05,2021-04-26 11:08:14,9.25044703483582
787,SG,5,NA,5,2021-04-26T11:08:57.592295939Z,2021-04-26T11:09:06.467677548Z,pre,R9SP,2021-04-26 11:08:57,2021-04-26 11:09:06,8.87538170814514
